CNPJ Emitente,Nome do Emitente,Natureza Op.,Modelo,Data Emissão,Nº NF,Nº Série,Valor,UE,Unidade Arrecadadora,Ue,Chave,Link
06990590000123,GOOGLE BRASIL INTERNET LTDA.,SERV,00,02/10/2022,19382695,   ,1000,SP,PREFEITURA MUNICIPAL DE SÃO PAULO,SÃO PAULO,IBEP2UER,https://nfe.prefeitura.sp.gov.br/contribuinte/notaprint.aspx?ccm=33555800&nf=19382695&cod=IBEP2UER
13347016000117,FACEBOOK SERVICOS ONLINE DO BRASIL LTDA.,SERV,00,02/10/2022,51249560,   ,21371.42,SP,PREFEITURA MUNICIPAL DE SÃO PAULO,SÃO PAULO,47LARMNK,https://nfe.prefeitura.sp.gov.br/contribuinte/notaprint.aspx?ccm=42427630&nf=51249560&cod=47LARMNK
47413717000129,"DREAMS - JRS MUSICA, ARTE E ENTRETENIMENTO LTDA",SERV,00,30/09/2022,21,   ,3000,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,P5VK-BEHE,WWW.GOIANIA.GO.GOV.BR
24095599000152,PREMIUM TUR LOCADORA LTDA,SERV,00,30/09/2022,159,   ,2000,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,T83Z-NS24,WWW.GOIANIA.GO.GOV.BR
39571991000106,39.571.991 BRUNO GONCALVES SOUZA LACERDA,SERV,00,30/09/2022,25,   ,500,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,XJ8K-H2L2,WWW.GOIANIA.GO.GOV.BR
06788342000102,FESTIVITA LOCACAO DE MATERIAL E MOBILIARIO PARA EVENTOS LTDA,SERV,00,29/09/2022,15111,   ,112,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,8GR3-K8DM,WWW.GOIANIA.GO.GOV.BR
06273582000166,RS PRODUTOS E SERVICOS LTDA,SERV,00,29/09/2022,15007,   ,2000,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,K5X2-VF4J,WWW.GOIANIA.GO.GOV.BR
06273582000166,RS PRODUTOS E SERVICOS LTDA,SERV,00,29/09/2022,15008,   ,2000,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,45VX-AXS3,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,28/09/2022,4343,   ,380,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,3K1T-5EM8,WWW.GOIANIA.GO.GOV.BR
21135490000103,ROFE RENTAL E COMERCIO LTDA,SERV,00,28/09/2022,376,   ,2200,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,5NP7-HPXN,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,28/09/2022,396,2  ,2555.9,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003961612242391,
37249018000131,PROMARKET PROMOCAO DE EVENTOS E LOGISTICA LTDA,SERV,00,28/09/2022,15771,   ,6500,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,HPP9-X8Z1,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,28/09/2022,396,002,2555.9,BR,RFB_TSE,BRASIL,52220901595271000108550020000003961612242391,https://www.nfe.fazenda.gov.br/portal/principal.aspx
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4314,   ,2080,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,8UB8-P7H3,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4310,   ,9748,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,5V8J-3UGU,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4316,   ,7055,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,6N8J-MKDX,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4328,   ,4576,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,6LNG-ZB4R,WWW.GOIANIA.GO.GOV.BR
03311068000180,POSTO Z + Z LARANJEIRAS LTDA,VEND,55,27/09/2022,13888,1  ,500,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220903311068000180550010000138881402626170,
07832010000132,FERNANDES COMBUSTIVEIS LTDA,VEND,55,27/09/2022,47,3  ,245.03,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220907832010000132550030000000471000277460,
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4313,   ,6633,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,P1L3-IYGC,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,65,27/09/2022,394615,1  ,584.67,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003946151001297788,
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4315,   ,5750,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,TPQ6-5958,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4318,   ,3510,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,KWXE-EFAH,WWW.GOIANIA.GO.GOV.BR
07832010000132,FERNANDES COMBUSTIVEIS LTDA,VEND,55,27/09/2022,47,003,245.03,BR,RFB_TSE,BRASIL,52220907832010000132550030000000471000277460,https://www.nfe.fazenda.gov.br/portal/principal.aspx
24578406000114,JC GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,3200,   ,1200,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,LE1B-FURI,WWW.GOIANIA.GO.GOV.BR
03311068000180,POSTO Z + Z LARANJEIRAS LTDA,VEND,55,27/09/2022,13888,001,500,BR,RFB_TSE,BRASIL,52220903311068000180550010000138881402626170,https://www.nfe.fazenda.gov.br/portal/principal.aspx
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4317,   ,12380,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,3HEP-BF1K,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4308,   ,2504,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,8KLI-1IZF,WWW.GOIANIA.GO.GOV.BR
00747303000172,GRAFOPEL GRAFICA E EDITORA LTDA,SERV,00,27/09/2022,4309,   ,14490,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,8TMY-XWDB,WWW.GOIANIA.GO.GOV.BR
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2918,1  ,12557.8,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220914707720000104550010000029181650090003,
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2917,001,1185,BR,RFB_TSE,BRASIL,52220914707720000104550010000029171703680805,https://www.nfe.fazenda.gov.br/portal/principal.aspx
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2917,1  ,1185,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220914707720000104550010000029171703680805,
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2918,001,12557.8,BR,RFB_TSE,BRASIL,52220914707720000104550010000029181650090003,https://www.nfe.fazenda.gov.br/portal/principal.aspx
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2916,001,1580,BR,RFB_TSE,BRASIL,52220914707720000104550010000029161002031307,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,65,26/09/2022,394463,1  ,190.04,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003944631001293495,
14647750000164,"TZ - CONFECCAO, MALHARIA E EMBALAGENS LTDA",VEND,55,26/09/2022,1472,1  ,16420,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220914647750000164550010000014721901841074,
14707720000104,CONEXAO DIGITAL SOLUTION - COMUNICACAO VISUAL LTDA,VEND,55,26/09/2022,2916,1  ,1580,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220914707720000104550010000029161002031307,
01595271000108,POSTO XODO LTDA,VEND,65,26/09/2022,394339,1  ,190.15,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003943391001290177,
14647750000164,"TZ - CONFECCAO, MALHARIA E EMBALAGENS LTDA",VEND,55,26/09/2022,1472,001,16420,BR,RFB_TSE,BRASIL,52220914647750000164550010000014721901841074,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,65,24/09/2022,394177,1  ,200.03,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003941771001285580,
01595271000108,POSTO XODO LTDA,VEND,65,24/09/2022,394172,1  ,190.53,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003941721001285444,
01595271000108,POSTO XODO LTDA,VEND,65,23/09/2022,394002,1  ,173.83,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003940021001280450,
00110583000103,ECONOMICA GRAFICA RAPIDA LTDA,SERV,00,23/09/2022,11293,   ,400,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,17RX-8NX9,WWW.GOIANIA.GO.GOV.BR
47413717000129,"DREAMS - JRS MUSICA, ARTE E ENTRETENIMENTO LTDA",SERV,00,23/09/2022,19,   ,1700,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,73TK-3NAN,WWW.GOIANIA.GO.GOV.BR
01891479000166,GRAFICA E EDITORA E M 5 LTDA,SERV,00,22/09/2022,19957,   ,1320,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,MX3G-82DB,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,65,22/09/2022,393758,1  ,82.32,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003937581001272651,
01595271000108,POSTO XODO LTDA,VEND,65,22/09/2022,393756,1  ,180.27,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003937561001272584,
01595271000108,POSTO XODO LTDA,VEND,65,22/09/2022,393759,1  ,562.26,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003937591001272683,
01595271000108,POSTO XODO LTDA,VEND,55,21/09/2022,383,2  ,2119.77,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003831106333073,
16851106000139,AMS GRAFICA E EDITORA LTDA,SERV,00,21/09/2022,8516,   ,5635,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,RNNP-NWZ4,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,55,21/09/2022,383,002,2119.77,BR,RFB_TSE,BRASIL,52220901595271000108550020000003831106333073,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,65,21/09/2022,393660,1  ,201.8,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003936601001269831,
01732140000117,MW - AUDITORIA E CONSULTORIA SS LTDA,SERV,00,20/09/2022,567,   ,6955,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,1E2K-3YEU,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,65,20/09/2022,393456,1  ,189.19,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003934561001263821,
01595271000108,POSTO XODO LTDA,VEND,65,20/09/2022,393494,1  ,619.99,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003934941001264950,
24578406000114,JC GRAFICA E EDITORA LTDA,SERV,00,20/09/2022,3173,   ,1950,GO,PREFEITURA MUNICIPAL DE GOIÂNIA,GOIÂNIA,P7SZ-MBVX,WWW.GOIANIA.GO.GOV.BR
01595271000108,POSTO XODO LTDA,VEND,65,19/09/2022,393256,1  ,220.49,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003932561001258347,
33867095000102,BR BANDEIRAS E COMUNICACAO VISUAL LTDA,VEND,55,16/09/2022,800,317,2200,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220933867095000102553170000008001068130297,
01595271000108,POSTO XODO LTDA,VEND,65,16/09/2022,392910,1  ,254.16,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003929101001247323,
33867095000102,BR BANDEIRAS E COMUNICACAO VISUAL LTDA,VEND,55,16/09/2022,800,317,2200,BR,RFB_TSE,BRASIL,52220933867095000102553170000008001068130297,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01732940000138,AUTO POSTO DRIM LTDA,VEND,55,16/09/2022,19691,1  ,5983.63,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901732940000138550010000196911096032900,
01732940000138,AUTO POSTO DRIM LTDA,VEND,55,16/09/2022,19691,001,5983.63,BR,RFB_TSE,BRASIL,52220901732940000138550010000196911096032900,https://www.nfe.fazenda.gov.br/portal/principal.aspx
01595271000108,POSTO XODO LTDA,VEND,55,15/09/2022,375,2  ,1979.8,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108550020000003751106408730,
01595271000108,POSTO XODO LTDA,VEND,65,15/09/2022,392785,1  ,204.81,GO,SECRETARIA DE ESTADO DA FAZENDA DE GOIÁS,GOIÁS,52220901595271000108650010003927851001243743,
01595271000108,POSTO XODO LTDA,VEND,55,15/09/2022,375,002,1979.8,BR,RFB_TSE,BRASIL,52220901595271000108550020000003751106408730,https://www.nfe.fazenda.gov.br/portal/principal.aspx
33867095000102,BR BANDEIRAS E COMUNICACAO VISUAL LTDA,VEND,55,14/09/2022,784,317,7750,BR,RFB_TSE,BRASIL,52220933867095000102553170000007841833469254,https://www.nfe.fazenda.gov.br/portal/principal.aspx
